25.Q2.5							
							
PmEvent Name	Compound Type	Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Type	Containing Oneof	Filters
CuCpE1Reset	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpE1Reset	Asn1Message	msg_content	2	Payload	bytes		
CuCpE1Reset	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpE1ResetAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpE1ResetAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpE1ResetAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1DeactivateTrace	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1DeactivateTrace	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1DeactivateTrace	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1DeactivateTrace	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1DeactivateTrace	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1GnbCuConfigurationUpdate	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbCuConfigurationUpdate	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbCuConfigurationUpdate	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1GnbCuConfigurationUpdateAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbCuConfigurationUpdateAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbCuConfigurationUpdateAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1GnbCuConfigurationUpdateFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbCuConfigurationUpdateFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbCuConfigurationUpdateFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1GnbDuConfigurationUpdate	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbDuConfigurationUpdate	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbDuConfigurationUpdate	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1GnbDuConfigurationUpdateAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbDuConfigurationUpdateAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbDuConfigurationUpdateAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1GnbDuConfigurationUpdateFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1GnbDuConfigurationUpdateFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1GnbDuConfigurationUpdateFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1Paging	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1Paging	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1Paging	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1PwsCancelRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1PwsCancelRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1PwsCancelRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1PwsCancelResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1PwsCancelResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1PwsCancelResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1PwsFailureIndication	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1PwsFailureIndication	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1PwsFailureIndication	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1PwsRestartIndication	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1PwsRestartIndication	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1PwsRestartIndication	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1Reset	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1Reset	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1Reset	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1ResetAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1ResetAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1ResetAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1ResourceStatusFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1ResourceStatusFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1ResourceStatusFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1ResourceStatusRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1ResourceStatusRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1ResourceStatusRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1ResourceStatusResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1ResourceStatusResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1ResourceStatusResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1ResourceStatusUpdate	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1ResourceStatusUpdate	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1ResourceStatusUpdate	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1SetupFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1SetupFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1SetupFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1SetupRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1SetupRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1SetupRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1SetupResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1SetupResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1SetupResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1TraceStart	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1TraceStart	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1TraceStart	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1TraceStart	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1TraceStart	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationConfirm	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationConfirm	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationConfirm	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationConfirm	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationConfirm	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationFailure	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationFailure	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationRefuse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationRefuse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationRefuse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationRefuse	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationRefuse	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationRequest	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationRequest	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationRequired	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationRequired	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationRequired	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationRequired	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationRequired	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextModificationResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextModificationResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextModificationResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextModificationResponse	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextModificationResponse	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextReleaseCommand	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextReleaseCommand	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextReleaseCommand	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextReleaseCommand	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextReleaseCommand	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextReleaseComplete	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextReleaseComplete	Asn1Message	msg_content	2	Payload	bytes		
CuCpF1UeContextReleaseComplete	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpF1UeContextReleaseComplete	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpF1UeContextReleaseComplete	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpF1UeContextReleaseRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpF1UeContextReleaseRequest	Asn1Message	msg_content	2	Payload	bytes		
