25.Q2.5			
			
Event/Message Name	Enum	Logical Value	Literal Value
CuCpE1Reset	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpE1Reset	MsgDirection	MSG_DIRECTION_SEND	1
CuCpE1Reset	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpE1Reset	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpE1Reset	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpE1ResetAcknowledge	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpE1ResetAcknowledge	MsgDirection	MSG_DIRECTION_SEND	1
CuCpE1ResetAcknowledge	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpE1ResetAcknowledge	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpE1ResetAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
