PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
CuCpE1Reset	3272	CUCP	E1AP RESET message. See 3GPP TS 38.463.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpE1ResetAcknowledge	3273	CUCP	E1AP RESET ACKNOWLEDGE message. See 3GPP TS 38.463.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpF1DeactivateTrace	3110	UE	DEACTIVATE TRACE sent. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A		USED
CuCpF1GnbCuConfigurationUpdate	3129	CUCP	GNB-CU CONFIGURATION UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED
CuCpF1GnbCuConfigurationUpdateAcknowledge	3130	CUCP	GNB-CU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED
CuCpF1GnbDuConfigurationUpdate	3132	CUCP	GNB-DU CONFIGURATION UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED
CuCpF1GnbCuConfigurationUpdateFailure	3131	CUCP	GNB-CU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED
CuCpF1GnbDuConfigurationUpdateAcknowledge	3133	CUCP	GNB-DU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED
CuCpF1GnbDuConfigurationUpdateFailure	3134	CUCP	GNB-DU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for all deployments	USED
CuCpF1Paging	3213	CUCP	F1 PAGING sent. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpF1PwsCancelRequest	3288	CUCP	To observe the PWS F1 procedure, F1AP PWS CANCEL REQUEST in CU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpF1PwsCancelResponse	3289	CUCP	To observe the PWS F1 procedure, F1AP PWS CANCEL RESPONSE in CU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpF1PwsFailureIndication	3316	CUCP	To observe the PWS F1 procedure, F1AP PWS FAILURE INDICATION in CU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpF1PwsRestartIndication	3315	CUCP	To observe the PWS F1 procedure, F1AP PWS RESTART INDICATION in CU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpF1Reset	3135	CUCP	RESET message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not used in current deployments	USED
CuCpF1ResetAcknowledge	3136	CUCP	RESET ACKNOWLEDGE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not used in current deployments	USED
CuCpF1ResourceStatusFailure	3299	CUCP	RESOURCE STATUS FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
CuCpF1ResourceStatusRequest	3297	CUCP	RESOURCE STATUS REQUEST message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
CuCpF1ResourceStatusResponse	3298	CUCP	RESOURCE STATUS RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
CuCpF1ResourceStatusUpdate	3300	CUCP	RESOURCE STATUS UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
CuCpF1SetupFailure	3126	CUCP	SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1SetupRequest	3127	CUCP	SETUP REQUEST message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1SetupResponse	3128	CUCP	SETUP RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1TraceStart	3109	UE	TRACE START sent. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A		USED
CuCpF1UeContextModificationConfirm	3156	UE	UE CONTEXT MODIFICATION CONFIRM message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
